sample,Cmon_PlotID,Bodemlocatie,Diepte,Datum_staalname,Staalnemer,c_LB72X,c_LB72Y,mv_mTAW,Cmon_GRTS_Rank,CmonLU19,CmonLUtext,Bermen,Landgebruik_Cmon,Vegetatie_bij_staalname,Landcover_EUNIS,Landgebruik_MBAG,MBAG_eDNA_staal,MBAG_Nematoden_staal,LOQ_TIC,TIC_percent,LOQ_TOC,TOC,LOQ_N,TN,pH_KCl,BD,C_stock,Cdensity,N_stock,Ndensity,C_N_stockbased,SWCgrav,SWCvol,Textuur_kleifractie,Textuur_leemfractie,Textuur_Zandfractie,Bodemtoestand,Weer_bij_staalname,Weersomstandigheid,Bodemtype,UniBodemtype,Bodemserie,Bodembeschrijving_Belgisch,Textuurklasse,Drainageklasse,Profielontwikkeling,Bodemstreek,WRB_soil_unit,RSG,rsg_pq_cod,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morph,sq_fertility,Bodemassociatie,mycorrhiza_total_rich,patho_rich,n_fixers_rich,bd_0_10,cstock_sum,18S_universal_nematoda_observed,18S_nema_edna_Nematoda_observed,18S_nema_extract_Nematoda_observed,18S_universal_annelida_observed,InseKP_annelida_observed,InseKP_annelida_bold_observed,18S_nema_edna_Nematoda_total_count,18S_nema_extract_Nematoda_total_count,18S_universal_nematoda_total_count,InseKP_annelida_total_count,InseKP_annelida_bold_total_count
137_012_241022_999_0437_207_02_25002,P63afe27,CMON_P63afe27,45960,2023-06-15,INBO,201905,199905,24.61,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, linde, berk",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,LT,0.01,NA,1.35,NA,0.11,4.5,1.2,32.35,1.62,2.64,0.13,12.27,4.6,5.5,6,16.5,77.4,NA,NA,NA,Sdm(b),Sdm(b),Sdm,Matig natte lemig zandbodem met dikke antropogene humus A horizont,S,d,m,Kempen,Plaggic Anthrosols (Loamic),Anthrosols,AT-pa,Plaggic,-,-,NA,NA,NA,Dystric,Heuvelland van Lummen,NA,NA,NA,1.074232026,0.3118996425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137_012_241022_999_0448_207_01_25002,P63afe27,CMON_P63afe27,0-10,2023-06-15,INBO,201905,199905,24.61,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, linde, berk",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,LT,0.01,NA,2.79,NA,0.23,4.5,0.97,27.08,2.71,2.23,0.22,12.13,7.6,7.4,6.1,16.5,77.4,NA,NA,NA,Sdm(b),Sdm(b),Sdm,Matig natte lemig zandbodem met dikke antropogene humus A horizont,S,d,m,Kempen,Plaggic Anthrosols (Loamic),Anthrosols,AT-pa,Plaggic,-,-,NA,NA,NA,Dystric,Heuvelland van Lummen,NA,NA,NA,1.074232026,0.3118996425,NA,NA,NA,NA,17,62,NA,NA,NA,171653,319617
137_012_241024_999_0549_207_01_25002,P63e2674,CMON_P63e2674,45960,2023-11-21,INBO,139235,199815,1.64,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,8,NA,0.66,5.1,0.8,127.2,6.36,10.49,0.52,12.12,57.4,45.6,22,33.7,44.4,NA,NA,NA,vEep,vEep,Eep,Sterk gleyige kleibodem zonder profiel,E,e,p,Zandstreek,"Eutric Fluvic Gleyic Cambisols (Loamic, Fluvic, Thaptohistic)",Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,1.650835049,3.440982045,NA,NA,NA,NA,5,8,NA,NA,NA,443144,481164
137_012_241024_999_0563_207_01_25002,P63e2674,CMON_P63e2674,0-10,2023-11-21,INBO,139235,199815,1.64,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,10.56,NA,0.876,4.8,0.83,87.2,8.72,7.23,0.72,12.05,62.3,51.5,22,32.8,45.2,NA,NA,NA,vEep,vEep,Eep,Sterk gleyige kleibodem zonder profiel,E,e,p,Zandstreek,"Eutric Fluvic Gleyic Cambisols (Loamic, Fluvic, Thaptohistic)",Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,1.650835049,3.440982045,NA,NA,NA,NA,5,9,NA,NA,NA,1155267,1228395
137_012_241024_999_0542_207_01_25002,P643ece3,CMON_P643ece3,45960,2023-11-16,INBO,133945,199655,4.28,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, brandnetel",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,NA,0.58,NA,5.56,NA,0.352,7.2,0.93,102.97,5.15,6.52,0.33,15.8,52.2,48.3,34.9,56.8,8.3,NA,NA,NA,Edp,Edp,Edp,Matig gleyige kleibodem zonder profiel,E,d,p,Zandstreek,"Eutric Fluvic Gleyic Cambisols (Loamic, Fluvic)",Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,NA,NA,NA,Eutric,Westelijke Boomse cuesta,NA,NA,NA,2.186252142,2.078292432,NA,NA,NA,NA,0,1,NA,NA,NA,0,2
137_012_241024_999_0548_207_01_25002,P643ece3,CMON_P643ece3,0-10,2023-11-16,INBO,133945,199655,4.28,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, brandnetel",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,NA,0.23,NA,8.24,NA,0.653,6.8,0.7,58.03,5.8,4.6,0.46,12.62,73.6,51.8,36.6,55.1,8.3,NA,NA,NA,Edp,Edp,Edp,Matig gleyige kleibodem zonder profiel,E,d,p,Zandstreek,"Eutric Fluvic Gleyic Cambisols (Loamic, Fluvic)",Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,NA,NA,NA,Eutric,Westelijke Boomse cuesta,NA,NA,NA,2.186252142,2.078292432,NA,NA,NA,NA,2,4,NA,NA,NA,2,2589
137_012_241022_999_0473_207_01_25002,P6d310dc,CMON_P6d310dc,45960,2024-05-15,INBO,138035,195695,5.77,NA,NA,Natuur,0,Natuur,"Grassen, kruidachtigen, braam",R2 (Mesic grasslands),Natuurgrasland,1,0,LT,0.01,NA,2.81,NA,0.145,5.2,1.16,65.36,3.27,3.37,0.17,19.38,34.1,39.6,11.1,26.8,62.1,NA,NA,NA,Sdb,Sdb,Sdb,Matig natte lemig zandbodem met structuur B horizont,S,d,b,Zandstreek,Eutric Gleyic Cambisols (Loamic),Cambisols,CM-gl.eu,Gleyic,Eutric,-,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,1.444905398,0.4267330368,NA,NA,NA,NA,2,6,NA,NA,NA,8001,292116
137_012_241022_999_0474_207_01_25002,P6d310dc,CMON_P6d310dc,0-10,2024-05-15,INBO,138035,195695,5.77,NA,NA,Natuur,0,Natuur,"Grassen, kruidachtigen, braam",R2 (Mesic grasslands),Natuurgrasland,1,0,LT,0.01,NA,3.53,NA,0.265,5.1,0.88,30.92,3.09,2.32,0.23,13.32,54.5,47.7,10.3,25.7,64.1,NA,NA,NA,Sdb,Sdb,Sdb,Matig natte lemig zandbodem met structuur B horizont,S,d,b,Zandstreek,Eutric Gleyic Cambisols (Loamic),Cambisols,CM-gl.eu,Gleyic,Eutric,-,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,1.444905398,0.4267330368,NA,NA,NA,NA,18,28,NA,NA,NA,572258,866870
137_012_241023_999_0512_207_01_25002,P6fae98a,CMON_P6fae98a,45960,2024-02-01,INBO,194975,194595,19.56,NA,NA,Grasland,0,Ruimtebeslag tuinen,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,2.09,NA,0.129,4.8,1.21,50.63,2.53,3.13,0.16,16.2,35.9,43.5,3.8,8.2,88,NA,NA,NA,Sdf,Sdf,Sdf,Matig natte lemig zandbodem met weinig duidelijke ijzer en/of humus B horizont,S,d,f,Kempen,Dystric Gleyic Cambisols (Loamic),Cambisols,CM-gl.dy,Gleyic,Dystric,-,NA,NA,NA,Dystric,Heuvelland van Lummen,NA,NA,NA,0.9506742349,-0.01269608538,NA,NA,NA,NA,9,25,NA,NA,NA,464964,814891
137_012_241023_999_0513_207_01_25002,P6fae98a,CMON_P6fae98a,0-10,2024-02-01,INBO,194975,194595,19.56,NA,NA,Grasland,0,Ruimtebeslag tuinen,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,2.83,NA,0.206,4.7,1,28.43,2.84,2.07,0.21,13.74,44.7,44.9,3.9,8.3,87.8,NA,NA,NA,Sdf,Sdf,Sdf,Matig natte lemig zandbodem met weinig duidelijke ijzer en/of humus B horizont,S,d,f,Kempen,Dystric Gleyic Cambisols (Loamic),Cambisols,CM-gl.dy,Gleyic,Dystric,-,NA,NA,NA,Dystric,Heuvelland van Lummen,NA,NA,NA,0.9506742349,-0.01269608538,NA,NA,NA,NA,20,52,NA,NA,NA,1196749,3496501
137_012_241023_999_0521_207_01_25002,P701d750,CMON_P701d750,45960,2023-11-29,INBO,235115,194405,82.39,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,1.92,NA,0.095,4.6,1.48,56.84,2.84,2.81,0.14,20.21,22.1,32.7,2.8,5.7,91.6,NA,NA,NA,Zcgt,Zcgt,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Kempen,"Albic Podzols (Arenic, Ruptic)",Podzols,PZ-ab,Albic,-,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,0.12695563,1.098635986,NA,NA,NA,NA,12,22,NA,NA,NA,253497,701275
137_012_241023_999_0523_207_01_25002,P701d750,CMON_P701d750,0-10,2023-11-29,INBO,235115,194405,82.39,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,5.5,NA,0.286,4.5,1.2,65.77,6.58,3.42,0.34,19.23,29.7,35.5,4.5,8.9,86.6,NA,NA,NA,Zcgt,Zcgt,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Kempen,"Albic Podzols (Arenic, Ruptic)",Podzols,PZ-ab,Albic,-,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,0.12695563,1.098635986,NA,NA,NA,NA,20,47,NA,NA,NA,342882,1764048
137_012_241024_999_0566_207_01_25002,P7266a6f,CMON_P7266a6f,45960,2023-10-04,INBO,42945,193385,3.74,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,NA,0.83,NA,3.83,NA,0.359,7.2,1.13,86.5,4.33,8.11,0.41,10.67,29.4,33.2,41.1,45.8,13.1,NA,NA,NA,m.E1,Udp,m.E1,Dekkleigronden (Middellandpolders),U,d,p,Middellandpolders,"Calcaric Fluvic Gleyic Cambisols (Loamic/Clayic, Fluvic, Ruptic)",Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,NA,NA,NA,Calcaric,"Kustvlakte, Middelland",NA,NA,NA,0.8683023744,1.297170166,NA,NA,NA,NA,3,5,NA,NA,NA,13598,863881
137_012_241024_999_0572_207_01_25002,P7266a6f,CMON_P7266a6f,0-10,2023-10-04,INBO,42945,193385,3.74,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,NA,0.82,NA,4.3,NA,0.42,7.1,1.02,43.89,4.39,4.29,0.43,10.24,26,26.5,41.3,45.6,13.1,NA,NA,NA,m.E1,Udp,m.E1,Dekkleigronden (Middellandpolders),NA,d,p,Middellandpolders,"Calcaric Fluvic Gleyic Cambisols (Loamic/Clayic, Fluvic, Ruptic)",Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,NA,NA,NA,Calcaric,"Kustvlakte, Middelland",NA,NA,NA,0.8683023744,1.297170166,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
137_012_241022_999_0471_207_01_25002,P73ca9c0,CMON_P73ca9c0,45960,2024-05-15,INBO,173275,192775,13.02,NA,NA,Natuur,0,Natuur,"Grassen, kruidachtigen",V3 (Artificial grasslands and herb dominated habitats),Natuurgrasland,1,0,LT,0.01,NA,2.19,NA,0.136,4.4,1.28,56.04,2.8,3.48,0.17,16.1,27.1,34.7,6.7,12.4,81,NA,NA,NA,lSdm(g),lSdm(g),Sdm,Matig natte lemig zandbodem met dikke antropogene humus A horizont,S,d,m,Zandstreek,"Terric Anthrosols (Loamic, Ruptic)",Anthrosols,AT-tr,Terric,-,-,NA,NA,NA,Eutric,Oostelijke Boomse cuesta,NA,NA,NA,2.227438072,0.134035474,NA,NA,NA,NA,6,10,NA,NA,NA,119934,289442
137_012_241022_999_0469_207_01_25002,P73ca9c0,CMON_P73ca9c0,0-10,2024-05-15,INBO,173275,192775,13.02,NA,NA,Natuur,0,Natuur,"Grassen, kruidachtigen",V3 (Artificial grasslands and herb dominated habitats),Natuurgrasland,1,0,LT,0.01,NA,4.16,NA,0.294,4.4,0.69,28.77,2.88,2.03,0.2,14.15,81.7,56.5,7.3,11.4,81.3,NA,NA,NA,lSdm(g),lSdm(g),Sdm,Matig natte lemig zandbodem met dikke antropogene humus A horizont,S,d,m,Zandstreek,"Terric Anthrosols (Loamic, Ruptic)",Anthrosols,AT-tr,Terric,-,-,NA,NA,NA,Eutric,Oostelijke Boomse cuesta,NA,NA,NA,2.227438072,0.134035474,NA,NA,NA,NA,19,33,NA,NA,NA,568512,2274544
137_012_241024_999_0565_207_01_25002,P746237c,CMON_P746237c,45960,2023-10-06,INBO,224275,192515,76.26,NA,NA,Grasland,0,Ruimtebeslag overige,"Gewoon biggenkruid, brem, grassen, kruidachtigen",R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,1.65,NA,0.088,4.3,1.5,49.46,2.47,2.64,0.13,18.75,13.1,19.6,5.9,11.2,82.8,NA,NA,NA,OB,OB,OB,Bebouwde zones,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,-,-,-,NA,NA,NA,-,Maasterrassen,NA,NA,NA,-0.8615066959,-0.03438683763,NA,NA,NA,NA,4,8,NA,NA,NA,998,6759
137_012_241024_999_0567_207_01_25002,P746237c,CMON_P746237c,0-10,2023-10-06,INBO,224275,192515,76.26,NA,NA,Grasland,0,Ruimtebeslag overige,"Gewoon biggenkruid, brem, grassen, kruidachtigen",R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,2,NA,0.113,4.3,1.44,28.75,2.87,1.62,0.16,17.7,13.3,19.1,5.9,10.9,83.2,NA,NA,NA,OB,OB,OB,Bebouwde zones,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,-,-,-,NA,NA,NA,-,Maasterrassen,NA,NA,NA,-0.8615066959,-0.03438683763,NA,NA,NA,NA,8,14,NA,NA,NA,27471,53719
137_012_241022_999_0450_207_01_25002,P74f2f30,CMON_P74f2f30,45960,2023-06-13,INBO,230475,192265,79.23,NA,NA,Grasland,0,Natuur,"Pitrus, grassen",R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,2.4,NA,0.146,4,1.28,61.57,3.08,3.75,0.19,16.44,13.2,16.9,4.5,12.3,83.1,NA,NA,NA,OB,OB,OB,Bebouwde zones,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,-,-,-,NA,NA,NA,-,Maasterrassen,NA,NA,NA,1.280161677,0.1845621675,NA,NA,NA,NA,8,10,NA,NA,NA,14704,14780
137_012_241022_999_0449_207_01_25002,P74f2f30,CMON_P74f2f30,0-10,2023-06-13,INBO,230475,192265,79.23,NA,NA,Grasland,0,Natuur,"Pitrus, grassen",R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,2.75,NA,0.179,3.9,0.92,25.22,2.52,1.64,0.16,15.36,16.1,14.8,4.5,12.2,83.3,NA,NA,NA,OB,OB,OB,Bebouwde zones,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,-,-,-,NA,NA,NA,-,Maasterrassen,NA,NA,NA,1.280161677,0.1845621675,NA,NA,NA,NA,13,20,NA,NA,NA,729009,736120
137_012_241024_999_0538_207_01_25002,P7bcf9f3,CMON_P7bcf9f3,0-10,2023-11-10,INBO,172265,189225,11.31,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, kerselaar",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,2.46,NA,0.185,4.2,1.14,28.15,2.81,2.12,0.21,13.3,20.5,23.5,4.4,9.7,85.8,NA,NA,NA,SbF,SbF,SbF,Droge lemig zandbodem met weinig duidelijke tot duidelijke ijzer en/of humus B horizont,S,b,b-f,Kempen,Entic Podzols (Loamic),Podzols,PZ-et,Entic,-,-,NA,NA,NA,Dystric,Oostelijke Boomse cuesta,NA,NA,NA,0.3740712114,0.3682955984,NA,NA,NA,NA,15,43,NA,NA,NA,110544,143928
137_012_241024_999_0550_207_01_25002,P79c66e0,CMON_P79c66e0,45960,2023-11-16,INBO,143435,190125,8.94,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,2.02,NA,0.153,6.3,1.31,53.04,2.65,4.02,0.2,13.2,30.4,39.9,9.7,31.6,58.7,NA,NA,NA,Pcc(h),Pcc(h),Pcc,"Matig droge licht zandleembodem met sterk gevlekte, verbrokkelde textuur B horizont",P,c,c,Zandstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,-,-,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,0.8683023744,0.1225521346,NA,NA,NA,NA,8,13,NA,NA,NA,8514,180789
137_012_241024_999_0547_207_01_25002,P79c66e0,CMON_P79c66e0,0-10,2023-11-16,INBO,143435,190125,8.94,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,3.07,NA,0.235,5.8,1.02,31.32,3.13,2.4,0.24,13.06,51.1,52.2,9.4,30.6,60,NA,NA,NA,Pcc(h),Pcc(h),Pcc,"Matig droge licht zandleembodem met sterk gevlekte, verbrokkelde textuur B horizont",P,c,c,Zandstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,-,-,NA,NA,NA,Eutric,Oostelijke Vlaamse laagvlakte,NA,NA,NA,0.8683023744,0.1225521346,NA,NA,NA,NA,2,2,NA,NA,NA,3,3
137_012_241023_999_0510_207_01_25002,P7b70568,CMON_P7b70568,45960,2024-02-14,INBO,59515,189385,21.22,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,1.22,NA,0.109,4.5,1.38,33.65,1.68,3.01,0.15,11.19,22.3,30.8,8.1,25.5,66.4,NA,NA,NA,Pcc(h),Pcc(h),Pcc,"Matig droge licht zandleembodem met sterk gevlekte, verbrokkelde textuur B horizont",P,c,c,Zandleemstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,-,-,NA,NA,NA,Eutric,Polder-Leie interfluvium,NA,NA,NA,0.4152571417,-0.5393985872,NA,NA,NA,NA,15,29,NA,NA,NA,540969,1337260
137_012_241023_999_0518_207_01_25002,P7b70568,CMON_P7b70568,0-10,2024-02-14,INBO,59515,189385,21.22,NA,NA,Grasland,0,Ruimtebeslag overige,Grassen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,2.2,NA,0.195,4.7,1.13,24.77,2.48,2.2,0.22,11.28,28.6,32.2,8.2,25,66.8,NA,NA,NA,Pcc(h),Pcc(h),Pcc,"Matig droge licht zandleembodem met sterk gevlekte, verbrokkelde textuur B horizont",P,c,c,Zandleemstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,-,-,NA,NA,NA,Eutric,Polder-Leie interfluvium,NA,NA,NA,0.4152571417,-0.5393985872,NA,NA,NA,NA,19,49,NA,NA,NA,1470712,2059118
137_012_241024_999_0544_207_01_25002,P7bcf9f3,CMON_P7bcf9f3,45960,2023-11-10,INBO,172265,189225,11.31,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, kerselaar",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,1.14,NA,0.074,4.1,1.44,32.92,1.65,2.14,0.11,15.41,13.3,19.2,4.1,9.3,86.6,NA,NA,NA,SbF,SbF,SbF,Droge lemig zandbodem met weinig duidelijke tot duidelijke ijzer en/of humus B horizont,S,b,b-f,Kempen,Entic Podzols (Loamic),Podzols,PZ-et,Entic,-,-,NA,NA,NA,Dystric,Oostelijke Boomse cuesta,NA,NA,NA,0.3740712114,0.3682955984,NA,NA,NA,NA,6,14,NA,NA,NA,418165,419583
137_012_241024_999_0579_207_01_25002,P7bcf9f3,CMON_P7bcf9f3,45960,2023-11-10,INBO,172265,189225,11.31,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, kerselaar",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,1.14,NA,0.074,4.1,1.44,32.92,1.65,2.14,0.11,15.41,13.3,19.2,4.1,9.3,86.6,NA,NA,NA,SbF,SbF,SbF,Droge lemig zandbodem met weinig duidelijke tot duidelijke ijzer en/of humus B horizont,S,b,b-f,Kempen,Entic Podzols (Loamic),Podzols,PZ-et,Entic,-,-,NA,NA,NA,Dystric,Oostelijke Boomse cuesta,NA,NA,NA,0.3740712114,0.3682955984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137_012_241022_999_0455_207_01_25002,P7e01d75,CMON_P7e01d75,45960,2023-09-07,INBO,223405,188255,56.271,NA,NA,Natuur,0,Natuur,gras,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,0,LT,0.01,NA,3.27,NA,0.167,3.84,0.78,50.98,2.55,2.6,0.13,19.59,265.8,207.3,3.8,6,90.3,NA,NA,NA,Zeg,Zeg,Zeg,Natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,e,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,-,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,3.710131561,3.024009231,NA,NA,NA,NA,4,7,NA,NA,NA,60278,102105
137_012_241022_999_0439_207_01_25002,P7e01d75,CMON_P7e01d75,0-10,2023-09-07,INBO,223405,188255,56.271,NA,NA,Natuur,0,Natuur,gras,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,0,LT,0.01,NA,44.57,NA,2.31,3.25,0.33,147.08,14.71,7.62,0.76,19.29,483.3,159.5,NA,NA,NA,NA,NA,NA,Zeg,Zeg,Zeg,Natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,e,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,-,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,3.710131561,3.024009231,NA,NA,NA,NA,3,8,NA,NA,NA,1424413,1444015
137_012_241024_999_0581_207_01_25002,P7e41c1c,CMON_P7e41c1c,45960,2023-09-20,INBO,235715,188145,86.13,NA,NA,Grasland,0,Natuur,"Grassen, brem",R2 (Mesic grasslands),Natuurgrasland,1,0,LT,0.01,NA,0.88,NA,0.053,3.7,1.46,25.76,1.29,1.55,0.08,16.6,9.7,14.3,4.7,10.7,84.6,NA,NA,NA,Zbf1t,Zbf1t,Zbf,Droge zandbodem met weinig duidelijke ijzer en/of humus B horizont,Z,b,f,Kempen,Dystric Brunic Arenosols,Arenosols,AR-br.dy,Brunic,Dystric,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,0.7859305139,-0.6363690091,NA,NA,NA,NA,12,20,NA,NA,NA,2926650,4138627
137_012_241024_999_0577_207_01_25002,P7e41c1c,CMON_P7e41c1c,0-10,2023-09-20,INBO,235715,188145,86.13,NA,NA,Grasland,0,Natuur,"Grassen, brem",R2 (Mesic grasslands),Natuurgrasland,1,0,LT,0.01,NA,2.77,NA,0.187,3.7,1.04,28.86,2.89,1.95,0.19,14.81,20.1,20.9,4.7,11,84.3,NA,NA,NA,Zbf1t,Zbf1t,Zbf,Droge zandbodem met weinig duidelijke ijzer en/of humus B horizont,Z,b,f,Kempen,Dystric Brunic Arenosols,Arenosols,AR-br.dy,Brunic,Dystric,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,0.7859305139,-0.6363690091,NA,NA,NA,NA,21,45,NA,NA,NA,2316017,3677694
137_012_241022_999_0457_207_01_25002,P7e57c40,CMON_P7e57c40,45960,2024-06-27,INBO,189675,188105,15.59,NA,NA,Residentieel,0,Ruimtebeslag overige,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,3.44,NA,0.384,4.7,0.83,57.1,2.86,11.14,0.56,5.13,57,47.3,41.3,45.5,13.2,NA,NA,NA,Eep,Eep,Eep,Sterk gleyige kleibodem zonder profiel,E,e,p,Kempen,"Fluvic Gleyic Phaeozems (Loamic, Fluvic)",Phaeozems,PH-gl.fv,Gleyic,Fluvic,-,NA,NA,NA,Eutric,Hagelands heuvelland,NA,NA,NA,2.515739584,0.4198430332,NA,NA,NA,NA,10,25,NA,NA,NA,94196,284080
137_012_241022_999_0456_207_01_25002,P7e57c40,CMON_P7e57c40,0-10,2024-06-27,INBO,189675,188105,15.59,NA,NA,Residentieel,0,Ruimtebeslag overige,Grassen,R2 (Mesic grasslands),Residentieel grasland,1,0,LT,0.01,NA,6.25,NA,0.671,4.7,0.62,38.91,3.89,1.11,0.11,34.92,56.2,35,40.7,43.9,15.4,NA,NA,NA,Eep,Eep,Eep,Sterk gleyige kleibodem zonder profiel,E,e,p,Kempen,"Fluvic Gleyic Phaeozems (Loamic, Fluvic)",Phaeozems,PH-gl.fv,Gleyic,Fluvic,-,NA,NA,NA,Eutric,Hagelands heuvelland,NA,NA,NA,2.515739584,0.4198430332,NA,NA,NA,NA,25,49,NA,NA,NA,831669,1344697
137_012_241023_999_0524_207_01_25002,P84385b4,CMON_P84385b4,45960,2024-01-16,INBO,228915,185505,60.26,NA,NA,Grasland,0,Ruimtebeslag overige,"Grassen, zomereik",V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,0,LT,0.01,NA,1.53,NA,0.092,5.2,1.47,44.94,2.25,2.7,0.14,16.63,14,20.6,5.8,6.6,87.6,NA,NA,NA,Zdg,Zdg,Zdg,Matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,d,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,-,-,NA,NA,NA,Dystric,Maasterrassen,NA,NA,NA,-0.6143911144,-0.18749803,NA,NA,NA,NA,8,14,NA,NA,NA,650780,763959
